Unnamed: 0,subject,age_class,arousal,general_arousal,valence,context,context_complet,context_general,file,Playback,negative_high,negative_low,positive_high,positive_low,total,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,valence_arousal,UMAP_1,UMAP_2,UMAP_3,UMAP_2D_1,UMAP_2D_2,has_audio,has_image,general_arousal_refined,valence_refined,valence_arousal_refined
0,Daniela,Adult,high,high,positive,Pre/start-feeding,Pre-feeding,Food,S1_Call1822_Daniela.wav,No,,,,,0,-16.891149475728252,8.492795662115364,-0.7152336812491445,2.755616489685088,2.773757519802006,1.095299324547028,5.463103712625305,1.261315243818101,1.515782621650271,2.333916536614435,1.4396513087480771,0.0254113444921549,-1.4012752927144203,-3.447572719622807,-6.173429072401515,-0.9401455570913544,-0.5569345492561232,-1.7472276740492436,1.5128044210804683,0.4711529517016957,positive_high,3.3849392,1.7830501,4.8102617,2.751701,5.8772388,False,False,high,positive,positive_high
1,Djanoa,Adult,very high,high,negative,Mild aggression-Victim,Agonistic_victim,Agonistic,S3_Call426_Djanoa.wav,No,,,,,0,8.189980954851993,-7.6912933889745005,-6.220071733484741,5.542989441903023,-0.55944772133292,-2.335875319925118,3.1863489944685357,0.717228998042967,-1.3950435213028836,0.9607608350779192,-1.1205955476882627,-0.0538320661579702,2.901698240430023,0.815311325972682,0.050012429982209,0.2025857370292683,-1.1436597786930034,-0.8412709293182301,1.8480061053220491,-0.5033239170173486,negative_high,1.4993511,4.2033634,2.1298375,-0.3078975,4.3805656,False,False,high,negative,negative_high
2,Zuani,Adult,medium,low,negative,Bystander-Nonconflict,Agonistic_third-party,Agonistic,Call731_Zuani_3.wav,Yes,61.67,8.33,23.33,6.67,0,-0.4130187360021736,-12.576198441698946,4.399825590838128,1.4832272324076148,6.409545049321393,1.6666930472763593,1.1342140448017457,-5.540229578864391,-2.301903919826331,-2.893783989814428,1.869529509751288,1.830146053921423,-3.231724908319099,1.8553400346173097,-0.4078860028010753,2.9204394123553685,-1.9885025234856275,0.6627701043028249,-0.4559054000695399,0.8647825171837676,negative_medium,3.9214404,5.1192265,-0.43714672,-1.7946043,1.3876313,True,True,low,negative,negative_low
3,Daniela,Adult,low,low,positive,Nesting,Nesting,Nesting,Call2055_Daniela.wav,No,,,,,0,-21.56292456070474,0.2507795482510904,0.9063222213400848,-1.0265119854428182,-2.137869839308364,3.137689429371727,-2.5611785103914615,5.231238555067051,-0.2151022884642581,2.574546487515517,-2.840230800969636,2.9673054079627947,4.06776302878667,2.595543760266797,2.37496633258638,-7.384583955519696,-1.4734497268206523,-0.4258770036938253,-1.1658679396189886,-1.082511007381337,positive_low,3.491855,3.0608582,5.954254,4.352903,5.730504,False,False,low,positive,positive_low
4,Lucuma,Adult,high,low,positive,Contact-general,Contact,Contact,S3_Call27_Lucuma.wav,No,,,,,0,-7.497488289855618,6.635524692432918,-3.417083572655592,4.327694075285776,-0.7804278965637153,0.137824394460253,6.383430461976771,-0.7912583894811007,-2.9723621922093217,-1.2146370017056527,1.1158499049044477,0.1179160016063832,-1.3731976437862836,1.5985100402913723,0.2191092395288453,2.5883733615033715,0.8289133303616265,1.467367987071348,-0.3868576854452615,-0.7383444075692784,positive_low,3.9744925,3.251205,3.187766,2.082676,3.255258,False,False,low,positive,positive_low
5,Daniela,Adult,low,low,positive,Contact-general,Contact,Contact,S4_Call1593_Daniela.wav,No,,,,,0,-4.309190045283111,1.5294030685030768,-0.424164530822346,0.6600794886414793,-3.2805111978752626,3.505065183408095,0.8103171309959092,0.260988378348954,-0.5607226734767161,2.43322906355844,-2.668319345960996,3.669361318218315,-3.7201626461357353,-1.2621275460238424,-1.2602012864285974,-2.4127725672489255,-2.7179427319595044,-2.399339739376953,1.0130010016943,0.9316095850337632,positive_low,3.432221,2.2047043,5.393924,3.3268552,6.0037246,False,False,low,positive,positive_low
6,Djanoa,Adult,high,high,negative,Mild aggression-Aggressor,Agonistic_aggressor,Agonistic,S3_Call348_Djanoa.wav,No,,,,,0,-11.516562267370414,-10.270750060805677,2.8268731869450052,5.865795131715134,-1.4224585221370447,-6.265823618007805,-4.2182603176532005,-3.6415240911451607,-3.9765403073950423,-4.484546115250562,-1.813892212415129,-0.5434066633806005,-0.9978496679445192,0.5343048220246347,3.0464391896740644,0.5186741380828566,0.2781728925622878,1.9659021880440504,4.668424620174598,-0.2148489689115906,negative_high,1.5643039,4.2385154,2.9572332,0.3919498,4.846789,False,False,high,negative,negative_high
8,Djanoa,Adult,low,low,positive,Nesting,Nesting,Nesting,Call44_Djanoa_1.wav,No,,,,,0,-12.20551098051545,8.23842360644597,5.05035213956369,1.553182775962354,1.808610598064496,0.5989803251283485,-0.4905249418086185,-4.294448279753014,-2.916766094358974,0.7138831765564875,1.3005410016820842,-3.65278077376203,4.352124695250078,-0.9741907570246876,0.9958558661161904,1.7281801367368754,0.0283226988498687,1.1477345829788934,-3.6288123849037177,-3.3377252888342355,positive_low,4.6059375,4.313242,4.6238556,4.211526,3.4217489,False,False,low,positive,positive_low
10,Bolombo,Adult,low,low,positive,Feeding,Foraging,Food,Call1493_Bolombo_2.wav,No,,,,,0,-27.48536240172927,11.614589356948596,6.141945288142149,1.8428338036368712,1.5624264148146558,-4.28384902617892,-1.1513308151495891,-3.630650885669725,7.137497097184751,-0.8304182806030993,-0.3646721975244952,-0.8019226263640096,0.6720341164432787,-0.1615493439546291,1.0115916059989831,0.4183193663838145,1.0519643752739312,0.40500945928399,0.8334190062976494,1.9852988763019817,positive_low,3.7806184,3.3979967,1.010616,0.4197384,1.0228529,False,False,low,positive,positive_low
11,Lina,Adult,low,low,positive,Feeding,Foraging,Food,Call561_Lina_2.wav,No,,,,,0,-9.208662329308916,1.3332105148764897,7.14563965798958,2.0110196283209425,1.5747335230703412,-2.331970765889842,-3.828453211027023,-2.333830525396358,-4.285647180154946,3.61922346251752,0.2812927866369082,-1.2921356799219208,4.751226126210003,1.9276771524849805,0.1822919173087932,1.4916720578496787,1.4984008610202133,0.6136245971012235,-0.495352313463886,-0.7694724686975478,positive_low,4.643734,4.4591403,4.858006,4.50549,3.536993,False,False,low,positive,positive_low
12,Habari,Juvenile,very high,high,negative,Tantrum,Tantrum,Tantrum,S7_Call153_Habari.wav,No,,,,,0,16.93924689064666,-1.4282881323868766,-4.815790118666905,3.892858754382309,-1.6474559987126751,1.3972058833628036,2.0621118140739405,0.5734207690630456,-1.5243699241601274,0.963107035751568,3.224043169528566,0.2535318879723869,-1.4994248462579227,-1.415992051477864,0.6959437842330725,1.4450848120399855,-1.1357764501942638,1.0176399805874987,0.1179960646903987,-0.176911925702885,negative_very high,2.4721215,4.5000205,1.8904113,-0.110654674,3.3273916,False,False,high,negative,negative_high
13,Zuani,Adult,low,low,positive,Feeding,Foraging,Food,Call767_Zuani_4.wav,No,,,,,0,-10.777034024956665,1.4574392646722112,8.705943440137188,0.8428733689629208,7.502519935381641,-0.9406065493285212,3.683814159468424,0.0445524251611437,0.2035530114112335,-0.4044966383008634,3.979685423951591,-5.014816946790497,1.7963550058404398,0.2764437578959784,-2.04382143772656,-5.3748475382460486,2.0406483274000218,-1.7391847693819742,-0.2730573895724683,1.3905296893517982,positive_low,4.210269,4.721257,0.21181549,-0.7009304,1.4557256,False,False,low,positive,positive_low
14,Busira,Sub-adult,high,low,positive,Sex,Grooming,Affiliatif,Call1466_Busira_3.wav,No,,,,,0,-30.99094660076312,8.6308564154215,2.3722082271760003,2.3094340615356135,4.6745998735994565,-0.1119643397305948,-10.829430133295691,0.0582832285138836,4.8126578676151786,-4.378155937205443,-0.7483834311912291,0.4869157822463936,1.8276184587160909,-1.976436500222821,0.5838153280468896,0.6006328658225053,0.8825285674814998,3.7746079973706825,1.550024445261445,-0.1609398145623881,positive_medium,3.2452428,4.8866305,-1.5574306,-3.0999956,0.61778086,False,False,low,positive,positive_low
